city, report_records
基隆市, 0
臺北市, 0
新北市, 83
宜蘭縣, 116
新竹市, 10
新竹縣, 156
桃園市, 301
苗栗縣, 76
臺中市, 555
彰化縣, 901
南投縣, 44
嘉義市, 4
嘉義縣, 103
雲林縣, 56
臺南市, 290
高雄市, 175
屏東縣, 152
臺東縣, 10
花蓮縣, 94
金門縣, 0
連江縣, 0
澎湖縣, 0
